"","policy","nutrient_type","value.2.5%","value.50%","value.97.5%"
"1","319","Lake TN",-9.842282e-03, 1.231713e-03, 1.224143e-02
"2","criteria","Lake TN",-9.686631e+00, 1.522982e+00, 1.393024e+01
"3","tmdl","Lake TN",-9.706201e+01, 1.235648e+01, 1.327616e+02
"4","319","Lake TP",-4.248823e-03,-6.035084e-04, 1.943819e-03
"5","criteria","Lake TP",-1.720482e+00, 1.125675e+00, 5.049326e+00
"6","tmdl","Lake TP",-3.733374e+01,-3.664585e+00, 2.054054e+01
"7","319","Stream Ammonium",-4.200031e-03,-3.760066e-04, 3.298247e-03
"8","criteria","Stream Ammonium",-2.651799e+00, 1.317956e-01, 2.598059e+00
"9","tmdl","Stream Ammonium",-2.968314e+01,-2.884952e-01, 2.503471e+01
"10","319","Stream Nitrate",-1.917435e-02, 4.215757e-04, 1.934285e-02
"11","criteria","Stream Nitrate",-1.380079e+01,-1.530470e+00, 1.118545e+01
"12","tmdl","Stream Nitrate",-1.893411e+02,-1.237888e+01, 1.519467e+02
"13","319","Stream TN",-1.500380e-02, 2.853735e-03, 2.169313e-02
"14","criteria","Stream TN",-1.317836e+01,-2.495477e+00, 9.681383e+00
"15","tmdl","Stream TN",-1.529614e+02,-4.535766e+00, 1.536871e+02
"16","319","Stream TP",-1.778555e-03,-2.978477e-04, 9.535335e-04
"17","criteria","Stream TP",-1.370636e+00,-3.674911e-01, 6.213933e-01
"18","tmdl","Stream TP",-1.610887e+01,-3.876183e+00, 8.170050e+00
